SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
C[C@H](CC(=O)N[C@@H](C1=CN=CS1)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)OP(=O)(O)O)C(=O)N)NC(=O)C2=CC=C(C=C2)CO,Pubchem,active,644.6,-2.0537,9,11,6.573488739
C[C@H](C1=C(C=C(C=C1)CO)Cl)OC2=C(SC(=C2)C3=CN=C4N3C=CC=C4)C(=O)N,Pubchem,active,427.913,4.4474,2,6,8.30980392
CN(C)CC(=O)N1CCC2=CC(=C(C=C21)NC3=NC=C(C(=N3)NC4=C(C=CS4)C(=O)OC)[N+](=O)[O-])OC,Pubchem,active,527.563,3.1794,2,12,8.289882635
COC(=O)c1sccc1Nc1nc(Nc2cc3c(cc2OC)CCN3C(=O)CN(C)C)ncc1C#N,CHEMBL,active,507.576,3.14288,2,11,8.312471039
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=C(C=C4)Cl)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,Pubchem,active,602.143,5.06662,2,10,6.790484985
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.666,3.5568,2,8,8.096910013
COC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CC[C@H]2OCCNC(=O)CC[C@H](NC(=O)c3cc(OCC(C)C)cc(OCC(C)C)c3)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)OP(=O)(O)O)C(=O)N21,CHEMBL,active,928.971,0.2619,8,14,6.698970004
C1CCC(C1)NC(=O)C2=CC=C(C=C2)NC3=NC=C4CC(=O)NC5=C(C4=N3)C=CC(=C5)Cl,Pubchem,active,447.926,4.7076,3,5,7.920818754
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,CHEMBL,active,521.666,3.5568,2,8,8.096910013
COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)O,Pubchem,active,451.497,2.8032,2,8,8.045757491
Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCC(N5CCCC5)CC4)ccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,556.593,3.7814,2,9,7.48148606
C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CNCCCO)cc1Cl,CHEMBL,active,485.009,4.4271,3,7,7.721246399
CC[C@@H]1C(=O)N(C)c2cnc(-c3cn[nH]c3-c3nccs3)nc2N1C1CCOCC1,CHEMBL,active,425.518,2.7306,1,8,6.602059991
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)C(F)(F)F)C,Pubchem,active,351.288,1.5425,0,7,6.258060922
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC(=C(C=C3)OC)OC)C,Pubchem,active,329.316,0.058,0,9,6.530177984
CC[C@@H]1c2c(C#N)ncn2-c2cnc(Nc3cc(F)c(C(=O)NC4CN(C)C4)cc3OC)nc2N1C(C)C,CHEMBL,active,519.585,3.14858,2,10,8.769551079
